metal_type,concentration,latitude,longitude,timestamp
Pb,19.43,63.389,88.8702,2025-11-02T08:06:00Z
Pb,10.96,-56.5519,-174.4047,2025-01-05T09:49:00Z
As,16.82,-16.7143,-139.6483,2025-12-21T18:55:00Z
Cd,0.85,40.9574,-52.8217,2025-06-08T01:36:00Z
Cr,49.81,-61.3313,-23.9762,2025-11-14T07:41:00Z
Cd,0.19,56.0241,-61.4048,2025-11-24T09:41:00Z
Hg,3.57,32.2277,-74.3736,2025-04-08T08:48:00Z
Cr,84.5,-67.6064,-10.9386,2025-09-01T19:33:00Z
Pb,40.87,-29.958,178.2976,2025-10-17T15:08:00Z
Cr,86.33,-6.9045,5.5602,2025-11-01T10:16:00Z
Cr,67.85,29.2279,-53.7182,2025-07-22T03:32:00Z
Hg,8.36,-0.2162,147.2883,2025-02-06T03:31:00Z
Hg,3.77,-63.8664,-124.2493,2025-02-17T00:30:00Z
Cd,1.0,-36.7961,34.488,2025-03-07T07:25:00Z
Hg,3.14,-16.1866,-175.3038,2025-11-08T05:23:00Z
Hg,9.43,0.2992,77.79,2025-10-18T08:36:00Z
Pb,49.71,85.1163,84.9201,2025-01-26T01:34:00Z
Cr,91.65,83.3402,66.7238,2025-06-17T17:56:00Z
Cd,6.44,15.6093,-28.0046,2025-10-06T22:24:00Z
Hg,4.0,5.0783,-77.2953,2025-01-17T10:34:00Z
Cd,9.47,21.5563,-38.8405,2025-03-26T04:35:00Z
Hg,7.35,-20.807,117.2125,2025-09-07T08:02:00Z
Pb,26.94,20.2273,31.7291,2025-12-16T00:09:00Z
Pb,36.73,-19.8558,120.3372,2025-08-31T01:11:00Z
Cr,8.49,67.9364,-37.1656,2025-02-21T15:40:00Z
Hg,7.07,77.0778,152.0772,2025-04-11T20:58:00Z
Pb,40.78,-35.6612,-119.6199,2025-02-15T18:43:00Z
Pb,35.37,57.2436,16.2882,2025-02-06T03:16:00Z
Pb,43.42,-19.259,-11.4769,2025-03-29T09:24:00Z
Pb,21.67,33.3616,54.2,2025-08-05T01:56:00Z
As,3.33,80.9814,167.4081,2025-01-07T15:10:00Z
Hg,4.27,44.855,0.0076,2025-08-15T19:09:00Z
Hg,7.42,64.9891,-116.7201,2025-01-01T02:52:00Z
As,15.54,21.2775,-89.4585,2025-10-23T19:16:00Z
As,17.6,28.8576,6.1774,2025-11-07T19:23:00Z
As,19.54,54.3589,-29.0762,2025-12-27T05:06:00Z
Cd,7.72,-21.137,-27.2797,2025-12-13T11:24:00Z
As,19.02,-4.0392,-69.4567,2025-01-24T20:44:00Z
Pb,6.56,-66.8288,47.7607,2025-06-25T22:37:00Z
Cr,11.49,49.9237,77.4788,2025-08-31T12:19:00Z
Cr,77.97,-72.6009,100.2799,2025-03-09T03:29:00Z
Cd,7.95,84.7565,2.3076,2025-06-02T06:55:00Z
As,5.94,-24.3804,107.0331,2025-02-16T18:54:00Z
Cd,5.6,-40.5878,130.6144,2025-12-20T02:47:00Z
Pb,13.16,16.1203,72.2289,2025-01-25T08:20:00Z
Hg,6.2,40.6274,18.4928,2025-02-05T08:31:00Z
Cd,7.04,27.3089,120.6512,2025-02-26T01:53:00Z
Cd,2.83,59.1707,-7.023,2025-07-31T17:44:00Z
Pb,33.75,-78.4108,-95.3288,2025-12-28T16:45:00Z
Pb,25.49,-52.0902,7.7167,2025-09-12T18:16:00Z
Cr,23.78,-47.5324,23.1292,2025-04-14T09:44:00Z
Hg,4.99,84.0454,139.7267,2025-11-13T00:20:00Z
Cr,95.53,-38.933,-108.8561,2025-07-24T08:29:00Z
Cd,0.78,37.9501,11.8998,2025-11-04T14:42:00Z
As,6.16,68.3158,-150.4918,2025-06-18T08:14:00Z
Cd,5.79,84.7347,128.7944,2025-05-24T17:49:00Z
Pb,18.96,89.5448,-160.895,2025-03-19T19:38:00Z
Pb,44.54,-36.742,120.2213,2025-02-17T21:12:00Z
Cr,80.26,-78.8158,93.3629,2025-02-18T05:01:00Z
Cr,14.77,0.2179,60.2414,2025-01-06T11:21:00Z
Pb,32.07,-16.5778,-92.5444,2025-02-04T19:47:00Z
Cr,11.12,-47.621,-114.4003,2025-02-23T01:50:00Z
Cd,7.48,-55.6163,40.3095,2025-04-03T09:00:00Z
Hg,7.47,71.5569,158.8528,2025-01-01T20:52:00Z
Cr,96.66,-39.0868,-110.6163,2025-05-25T03:20:00Z
As,4.65,-88.3089,136.7386,2025-03-24T20:05:00Z
Cd,8.07,85.9879,169.7503,2025-07-18T23:30:00Z
Hg,3.28,87.0748,103.5552,2025-06-09T14:09:00Z
As,7.29,-34.6047,-71.708,2025-01-15T15:08:00Z
As,14.85,-7.0364,169.5818,2025-02-28T10:59:00Z
Pb,9.7,-24.5085,139.3298,2025-11-03T13:13:00Z
Hg,1.88,-87.7771,-53.4143,2025-09-06T20:25:00Z
Cd,9.79,49.6044,18.8299,2025-03-30T02:03:00Z
As,17.15,78.6402,27.7565,2025-05-08T12:44:00Z
Cd,5.99,48.6973,63.264,2025-01-26T15:42:00Z
Cr,63.34,-65.5148,55.825,2025-03-02T07:44:00Z
Cd,8.88,-86.9374,-157.8362,2025-01-15T07:04:00Z
As,5.9,-37.492,23.7689,2025-12-10T18:47:00Z
Hg,7.72,68.7023,-159.4188,2025-12-29T01:12:00Z
Cr,13.79,-15.2036,-64.4854,2025-06-15T08:20:00Z
Pb,8.29,-27.1478,-177.335,2025-09-26T22:58:00Z
As,16.7,60.4537,-100.5869,2025-12-01T18:07:00Z
As,4.26,-68.1688,106.5786,2025-02-19T18:51:00Z
As,1.78,88.8622,26.0365,2025-02-15T20:59:00Z
Cd,4.04,-61.2066,113.8365,2025-09-26T14:00:00Z
Cd,6.38,80.7162,166.2781,2025-12-30T15:05:00Z
Hg,9.09,-39.9544,-17.5857,2025-02-08T00:11:00Z
Pb,6.26,86.8716,78.6901,2025-09-26T01:30:00Z
Pb,12.56,76.2763,106.3525,2025-08-20T18:38:00Z
Pb,31.45,-40.4303,4.8152,2025-07-23T10:41:00Z
Hg,2.34,42.1958,172.2557,2025-11-05T12:52:00Z
As,6.35,60.899,-105.7522,2025-09-14T11:10:00Z
Pb,21.52,68.5542,-104.3376,2025-09-01T03:49:00Z
Cd,6.47,-80.9149,68.1817,2025-03-11T16:54:00Z
Hg,8.48,51.6355,-8.4403,2025-07-02T13:49:00Z
As,2.03,-34.502,-32.3804,2025-07-16T23:33:00Z
Pb,11.82,59.7587,176.9699,2025-10-21T05:38:00Z
Cd,3.4,31.5712,164.9769,2025-08-24T15:07:00Z
As,8.57,31.8671,11.9745,2025-03-25T06:59:00Z
Cr,90.29,69.6151,-103.6406,2025-09-23T14:15:00Z
Cr,51.47,-86.8261,-21.2743,2025-10-04T12:16:00Z
Pb,33.74,52.3903,39.0589,2025-11-28T18:24:00Z
As,8.7,-67.1868,-122.22,2025-10-31T08:48:00Z
Hg,2.1,57.7007,-119.8642,2025-02-16T11:53:00Z
As,7.9,27.052,171.2737,2025-03-10T17:24:00Z
As,17.54,-54.1893,-10.0421,2025-08-05T13:28:00Z
Cd,6.21,-77.4771,73.8906,2025-07-11T14:37:00Z
Pb,23.33,34.0163,-35.3204,2025-12-16T12:16:00Z
Pb,14.58,18.2326,40.1439,2025-12-13T05:39:00Z
Pb,5.64,19.8015,22.2293,2025-08-24T00:51:00Z
Cr,73.65,-15.305,45.4091,2025-03-12T02:15:00Z
As,19.12,60.6264,119.173,2025-06-17T12:35:00Z
Cr,79.97,-4.7595,-117.1199,2025-04-28T14:31:00Z
Pb,46.5,36.2559,118.5862,2025-03-21T03:17:00Z
Cd,3.29,63.5205,-39.6286,2025-12-31T03:16:00Z
Pb,49.16,49.3527,-171.7765,2025-02-17T23:59:00Z
Hg,3.03,-27.9945,-2.5868,2025-12-18T04:28:00Z
Pb,22.17,-61.183,101.0491,2025-10-31T03:51:00Z
Cd,3.21,3.734,24.9493,2025-12-24T12:27:00Z
Cd,2.3,16.9092,57.7747,2025-03-02T07:44:00Z
Hg,8.28,-78.601,133.133,2025-03-19T03:35:00Z
Pb,44.02,-6.9745,110.4548,2025-10-19T06:41:00Z
Pb,37.94,-81.3366,95.0527,2025-12-25T17:13:00Z
Pb,27.43,-29.8084,102.5108,2025-11-15T06:41:00Z
Cd,9.71,31.3452,2.7843,2025-12-25T02:51:00Z
Hg,1.52,66.8851,81.2673,2025-03-19T23:05:00Z
Cd,3.96,-41.2478,-67.5783,2025-08-30T07:01:00Z
Cr,39.8,-25.1328,-39.1794,2025-09-11T06:42:00Z
Hg,5.51,-49.4979,-42.607,2025-09-10T20:07:00Z
Hg,2.06,-57.8991,10.2481,2025-08-30T09:42:00Z
Cr,20.24,-39.687,116.312,2025-02-05T03:12:00Z
As,13.12,79.3678,89.6113,2025-10-11T06:41:00Z
Cr,11.62,28.2213,103.534,2025-09-27T11:25:00Z
Hg,2.97,-61.3174,-49.203,2025-05-31T01:25:00Z
Pb,6.49,72.6908,5.3156,2025-01-09T14:06:00Z
Hg,6.54,-71.0618,-119.0245,2025-04-08T20:28:00Z
Hg,4.44,69.3001,-164.941,2025-11-12T06:27:00Z
Pb,43.99,-87.6983,-69.2117,2025-08-01T04:31:00Z
Hg,3.49,14.7925,102.9608,2025-01-27T13:17:00Z
Cr,38.96,-3.3755,10.9698,2025-01-31T15:36:00Z
Cd,3.72,-65.727,152.7726,2025-02-12T12:21:00Z
Cd,9.86,-2.5914,-101.0202,2025-10-17T10:48:00Z
Cd,2.53,-37.1285,-121.4477,2025-02-15T17:22:00Z
Hg,6.29,21.4185,-13.0318,2025-12-25T19:13:00Z
As,1.71,72.8787,20.4325,2025-06-08T00:38:00Z
As,14.43,-24.6282,102.257,2025-05-09T17:50:00Z
Hg,2.18,-1.6163,140.3347,2025-11-03T02:59:00Z
Cd,4.93,-80.2049,52.3775,2025-05-29T11:50:00Z
Cr,88.42,-77.1497,-8.3958,2025-03-29T01:06:00Z
Hg,1.38,-1.9662,66.2184,2025-07-03T22:33:00Z
Cr,29.82,24.139,154.3475,2025-01-08T08:07:00Z
Cd,5.5,-28.8164,-59.0454,2025-04-25T09:50:00Z
As,18.35,-54.756,-30.0405,2025-08-26T17:56:00Z
Hg,1.66,-24.0649,-117.5856,2025-06-01T00:10:00Z
Cd,9.01,24.4203,81.661,2025-06-12T05:41:00Z
Hg,4.44,-35.9936,-17.9992,2025-03-15T11:12:00Z
Cr,8.55,37.4499,132.672,2025-05-28T13:51:00Z
Cd,6.56,-56.391,-34.1408,2025-04-22T12:43:00Z
Hg,6.49,57.2283,156.2002,2025-12-15T01:38:00Z
Pb,49.57,-6.1233,115.5894,2025-06-19T19:20:00Z
Cd,3.04,5.8362,62.1872,2025-09-11T08:19:00Z
Cd,4.35,69.5588,90.1346,2025-08-28T23:53:00Z
Cr,43.39,-38.0752,36.3531,2025-10-11T14:15:00Z
Pb,8.21,78.3145,55.4603,2025-11-02T09:58:00Z
Cd,6.87,-87.5793,-17.0485,2025-05-10T23:09:00Z
Cr,87.73,-86.9947,-92.8718,2025-03-06T23:49:00Z
Hg,7.92,-72.9476,21.5288,2025-01-31T06:39:00Z
As,15.31,-41.2595,-137.0098,2025-08-03T14:52:00Z
Hg,1.46,7.4562,23.9721,2025-07-31T00:47:00Z
Cr,61.85,-78.4988,157.1404,2025-03-26T22:44:00Z
Pb,21.58,-36.221,-79.7,2025-01-13T16:06:00Z
Cd,6.56,-43.7346,-125.2343,2025-02-01T09:15:00Z
Cr,43.95,75.7106,-136.7023,2025-08-06T16:44:00Z
Pb,45.41,3.9466,162.182,2025-01-03T16:07:00Z
Hg,9.28,86.7997,-160.2831,2025-02-16T05:40:00Z
Cd,2.35,-38.166,-54.1294,2025-01-03T17:50:00Z
Cd,6.74,-14.2262,30.847,2025-10-31T14:43:00Z
Pb,32.68,-84.6363,177.0172,2025-08-22T06:31:00Z
As,18.04,-62.0293,179.6409,2025-12-24T01:11:00Z
Pb,39.11,89.4837,93.2652,2025-04-15T19:02:00Z
As,4.96,63.8651,45.2316,2025-06-14T03:44:00Z
Pb,1.65,31.4789,123.4478,2025-06-04T06:33:00Z
Hg,9.61,-22.0526,-35.8799,2025-09-25T07:32:00Z
Cr,53.34,29.9023,-167.8443,2025-01-01T11:00:00Z
Cr,44.71,14.9223,-85.3873,2025-03-03T02:30:00Z
Cr,25.64,69.1363,134.6061,2025-05-26T00:11:00Z
As,2.78,-65.2241,38.9658,2025-01-27T21:37:00Z
As,18.43,-15.8463,-99.222,2025-06-17T02:23:00Z
As,13.36,-47.7654,150.5397,2025-08-22T08:24:00Z
Hg,2.68,45.7406,111.5617,2025-09-04T01:10:00Z
As,10.99,-82.6697,28.6389,2025-04-19T07:53:00Z
Pb,31.45,51.2373,-10.7201,2025-02-28T02:52:00Z
As,7.06,7.902,-135.6891,2025-08-16T20:05:00Z
Cd,3.1,-61.1671,127.748,2025-12-09T00:06:00Z
Cd,3.64,-33.8716,-90.8254,2025-02-06T16:24:00Z
Pb,1.52,-73.6149,22.8953,2025-05-31T00:01:00Z
Hg,8.78,-61.4799,44.7887,2025-01-09T05:17:00Z
As,16.03,34.8394,-48.4085,2025-12-26T12:40:00Z
Cd,2.59,-28.2106,-63.2023,2025-09-08T23:53:00Z
As,14.69,1.66,4.0585,2025-11-13T04:40:00Z
Pb,22.95,41.6095,-14.5591,2025-04-11T20:41:00Z
Cd,8.97,66.9145,26.9163,2025-02-09T20:50:00Z
As,4.87,-68.128,-34.0424,2025-09-01T13:34:00Z
Pb,11.35,34.4188,171.7285,2025-12-01T22:52:00Z
As,10.5,27.103,-23.0755,2025-06-14T01:58:00Z
Hg,0.3,-26.4649,-117.1572,2025-04-26T12:27:00Z
Pb,31.75,39.713,-69.881,2025-09-30T08:12:00Z
Hg,2.84,-50.9473,162.4819,2025-07-03T09:24:00Z
Hg,4.98,-38.656,-12.2781,2025-12-07T16:06:00Z
Cd,5.62,-40.1831,45.0418,2025-04-27T05:14:00Z
Pb,42.37,-68.0129,-157.4173,2025-11-10T13:01:00Z
Hg,8.87,-61.8291,-106.8968,2025-06-05T02:09:00Z
Pb,43.84,17.9061,19.358,2025-12-12T18:42:00Z
Cr,99.86,-20.1633,-155.173,2025-05-21T04:16:00Z
As,19.05,24.8696,107.8446,2025-12-04T06:00:00Z
Cd,1.08,49.973,-78.0497,2025-05-09T10:57:00Z
Pb,32.03,43.653,-116.5125,2025-09-16T10:13:00Z
As,2.73,-56.6906,95.2852,2025-03-26T11:39:00Z
Cr,53.8,-8.4322,-7.0725,2025-10-28T13:18:00Z
As,10.0,75.5054,76.3418,2025-10-12T01:35:00Z
Hg,8.96,89.4613,15.0248,2025-09-18T13:01:00Z
Cd,7.78,-51.091,-30.9116,2025-07-08T07:57:00Z
Pb,16.6,-5.7568,131.2611,2025-04-05T23:36:00Z
Hg,2.14,-26.313,-49.0222,2025-06-04T22:13:00Z
Cd,8.06,-8.3613,165.4165,2025-05-07T19:50:00Z
Cd,5.15,6.5836,-34.4104,2025-05-31T04:15:00Z
As,16.46,65.3734,161.8329,2025-03-31T23:47:00Z
As,4.39,33.073,151.5338,2025-02-26T20:53:00Z
Cd,9.16,-79.3283,-139.3967,2025-09-24T12:01:00Z
As,19.92,6.3891,24.7704,2025-12-06T00:14:00Z
Cd,2.32,70.7492,39.4372,2025-06-24T21:02:00Z
Hg,4.03,-22.6596,-56.9439,2025-07-08T20:57:00Z
Cd,6.83,77.4573,154.5141,2025-08-12T23:33:00Z
Pb,34.1,44.196,-146.1943,2025-06-06T10:59:00Z
As,7.89,4.6213,93.9224,2025-04-08T05:00:00Z
Pb,23.12,49.1398,-75.7572,2025-03-24T07:28:00Z
Hg,7.87,-34.5273,-51.9301,2025-02-15T02:49:00Z
Hg,6.9,-7.6268,-139.2533,2025-03-26T01:20:00Z
Pb,40.76,22.737,141.2763,2025-08-13T01:56:00Z
As,4.4,-55.9706,-87.6977,2025-10-06T01:02:00Z
Cd,3.13,-56.6893,105.5642,2025-06-22T06:34:00Z
Cd,1.86,10.5978,-120.9987,2025-10-31T13:22:00Z
Hg,2.73,37.9095,-32.8914,2025-08-14T18:54:00Z
Cr,86.4,-22.1602,-77.7916,2025-11-30T15:35:00Z
As,10.6,-77.2013,-90.5967,2025-03-21T15:24:00Z
Pb,16.78,0.3138,-68.4445,2025-12-01T14:24:00Z
Cd,8.47,80.5198,176.781,2025-04-11T19:27:00Z
Cd,2.53,59.9979,-175.0525,2025-09-04T18:44:00Z
Hg,8.72,-28.9836,-143.1358,2025-01-02T22:54:00Z
As,17.51,87.3628,-18.3186,2025-10-18T08:33:00Z
As,8.2,-51.7812,173.251,2025-11-25T13:30:00Z
Cd,5.32,-39.7313,-122.9526,2025-09-29T21:03:00Z
Hg,1.98,42.7142,-168.626,2025-09-09T01:29:00Z
Pb,18.8,85.3065,-32.6845,2025-03-05T15:09:00Z
Hg,1.01,-18.648,-92.6601,2025-05-21T08:37:00Z
As,9.32,48.2821,-76.5127,2025-09-21T17:12:00Z
Pb,4.36,87.3878,56.0022,2025-06-12T22:09:00Z
Pb,3.71,-31.6376,75.6959,2025-07-10T19:06:00Z
Cd,7.57,-48.0456,157.3915,2025-02-06T21:31:00Z
Cr,67.51,60.7306,163.0204,2025-03-12T17:02:00Z
As,2.47,-74.8695,33.3384,2025-04-29T22:53:00Z
Cr,60.65,-3.7253,-176.6237,2025-05-11T08:07:00Z
Hg,7.63,81.0244,-50.8792,2025-10-31T23:36:00Z
Hg,3.49,41.2057,149.5951,2025-05-27T18:52:00Z
Cd,8.98,-10.8881,135.8349,2025-10-31T14:05:00Z
Hg,5.48,8.1298,-88.7941,2025-01-22T23:28:00Z
As,14.11,1.2109,160.1024,2025-01-24T07:14:00Z
As,19.94,88.0078,78.8719,2025-03-29T10:34:00Z
Pb,20.9,-76.6395,-89.0931,2025-08-25T23:01:00Z
As,3.65,-77.2444,-14.8645,2025-06-16T14:50:00Z
As,8.81,20.3916,-111.5571,2025-05-13T03:03:00Z
Hg,5.8,74.4701,-80.5359,2025-09-29T05:39:00Z
As,17.44,-49.7644,-50.3495,2025-03-14T12:27:00Z
As,11.86,74.209,-46.9264,2025-08-26T09:21:00Z
Pb,16.92,-39.5157,-58.8177,2025-05-16T13:52:00Z
Cr,99.08,-69.6963,-91.1339,2025-05-12T19:57:00Z
Hg,2.09,-22.2594,98.9099,2025-08-21T01:50:00Z
Hg,6.76,-33.6234,-138.6458,2025-10-07T08:03:00Z
Cr,29.13,-39.7793,-4.0347,2025-06-24T23:56:00Z
Pb,17.39,19.1523,98.5133,2025-07-25T00:18:00Z
Pb,29.18,-68.0456,129.1793,2025-08-16T08:56:00Z
Pb,2.9,-48.1262,-128.6958,2025-08-05T15:04:00Z
Cd,5.83,52.7675,39.3701,2025-09-18T21:39:00Z
Hg,2.76,-26.9787,138.5591,2025-02-18T09:23:00Z
Cr,21.87,-33.7037,64.9595,2025-06-23T07:50:00Z
Hg,1.02,-8.8668,-109.7464,2025-04-08T15:17:00Z
Pb,11.49,54.3385,-10.6385,2025-02-23T07:32:00Z
Hg,0.42,0.7943,-60.3165,2025-03-08T18:04:00Z
Hg,6.65,-34.5663,41.1307,2025-01-03T00:08:00Z
As,17.34,40.5737,122.3245,2025-12-18T14:16:00Z
Cd,3.32,-24.1561,127.3119,2025-06-23T02:08:00Z
Cr,88.97,2.6958,-171.825,2025-10-20T20:01:00Z
Cd,7.33,-26.328,75.3358,2025-01-04T02:03:00Z
Pb,11.11,10.081,-135.1899,2025-12-28T02:46:00Z
Cr,49.13,3.1523,109.2444,2025-08-28T18:38:00Z
As,16.39,-38.1625,70.3447,2025-05-31T01:49:00Z
Pb,33.64,-18.1373,-138.4481,2025-07-10T18:45:00Z
Cd,1.49,32.0194,-50.6071,2025-08-01T05:02:00Z
Hg,8.29,32.4393,3.8037,2025-02-17T07:01:00Z
Pb,9.0,-41.8381,135.6856,2025-04-10T19:46:00Z
Cd,0.83,71.5473,-139.3679,2025-05-27T21:58:00Z
Cd,3.83,-77.9959,112.9625,2025-12-25T22:47:00Z
Cr,75.95,-65.2701,149.6316,2025-04-17T18:42:00Z
Hg,1.97,-61.2103,-18.4205,2025-11-02T22:56:00Z
As,18.26,-89.9739,-122.0541,2025-12-30T15:31:00Z
Cd,0.63,42.7374,159.6317,2025-11-25T14:21:00Z
Pb,44.49,-50.6386,-40.4356,2025-01-21T17:04:00Z
Cd,6.09,-9.2834,-24.9409,2025-09-25T06:49:00Z
Cd,3.43,82.4648,-66.4885,2025-05-26T07:17:00Z
Pb,32.36,-86.1069,19.9366,2025-04-24T00:31:00Z
Cr,34.25,-13.9731,141.4468,2025-08-28T18:48:00Z
Cd,1.55,-34.4273,105.2461,2025-06-05T20:43:00Z
Cr,5.16,-13.248,160.1858,2025-03-04T22:00:00Z
Cr,62.27,6.202,31.2984,2025-05-14T13:15:00Z
Cd,9.04,-27.9172,-164.4916,2025-08-15T02:58:00Z
As,15.14,71.8844,164.1098,2025-05-05T10:56:00Z
Hg,5.14,79.7431,114.7424,2025-09-13T15:26:00Z
As,5.07,30.9238,-138.8662,2025-10-28T19:56:00Z
Pb,32.0,81.0493,-105.418,2025-08-29T17:07:00Z
As,13.42,-77.0809,29.8401,2025-06-24T20:18:00Z
Hg,2.39,-70.9555,18.185,2025-05-04T16:52:00Z
As,1.66,-26.4741,-158.5781,2025-06-16T18:17:00Z
Cd,7.95,-86.0593,12.8246,2025-11-11T16:25:00Z
Hg,8.39,23.331,80.4076,2025-12-31T16:17:00Z
Cr,24.09,29.4167,-49.5736,2025-01-29T07:42:00Z
Hg,6.19,16.79,-82.252,2025-05-22T13:35:00Z
Cd,1.93,25.9384,135.2964,2025-01-18T06:09:00Z
Cr,46.81,31.6608,-48.501,2025-12-08T04:35:00Z
Cd,7.88,7.4863,-60.6239,2025-06-24T01:17:00Z
Pb,11.12,-0.0002,90.8129,2025-03-27T05:16:00Z
Cr,82.5,58.307,169.8507,2025-05-20T19:00:00Z
As,14.15,-54.1136,104.3673,2025-11-09T23:23:00Z
Cr,41.67,73.0097,80.6489,2025-09-17T04:45:00Z
Cd,7.86,78.2208,46.4895,2025-11-24T07:51:00Z
Hg,2.59,-76.0813,-15.5866,2025-06-22T12:58:00Z
Cd,8.95,47.535,69.0817,2025-04-12T01:18:00Z
As,13.74,88.9029,102.5323,2025-11-26T22:02:00Z
Hg,5.44,-50.2278,139.5506,2025-02-03T04:23:00Z
Hg,5.48,-29.2563,-103.2459,2025-09-08T22:01:00Z
As,8.21,47.057,-110.3072,2025-11-19T22:24:00Z
Hg,7.73,-78.2195,-117.423,2025-09-15T17:51:00Z
Cd,4.0,-71.5836,163.763,2025-12-05T20:31:00Z
Cr,69.26,-89.2354,-19.395,2025-02-04T07:10:00Z
Cr,70.66,64.9724,-53.157,2025-03-10T12:14:00Z
Hg,1.11,-81.9823,171.3378,2025-08-31T10:45:00Z
Pb,48.0,-74.9054,-83.9587,2025-06-04T23:02:00Z
Hg,4.14,-66.1192,-46.5571,2025-10-22T15:15:00Z
Hg,2.59,15.1013,-8.6091,2025-05-21T22:00:00Z
Cr,70.45,-50.2481,136.7795,2025-07-18T16:43:00Z
Pb,2.98,21.3669,-12.7928,2025-02-11T15:04:00Z
As,1.39,39.3145,-56.4954,2025-07-27T07:48:00Z
Pb,33.79,33.5693,85.1742,2025-12-19T07:32:00Z
Cd,3.17,34.7715,119.597,2025-06-27T04:24:00Z
Hg,9.36,-28.184,174.0378,2025-04-15T04:12:00Z
As,19.0,4.9734,77.5008,2025-10-11T04:25:00Z
Pb,40.31,-22.8542,-5.5121,2025-02-21T18:34:00Z
Cr,90.33,71.9065,-104.4356,2025-10-14T19:19:00Z
Hg,8.51,-80.4366,-59.1519,2025-09-24T10:44:00Z
Cr,16.03,62.0103,103.0421,2025-03-27T05:10:00Z
Pb,28.08,-15.5369,-173.9855,2025-07-02T10:33:00Z
Cr,11.87,-66.1422,-53.724,2025-12-30T01:30:00Z
Hg,9.31,78.6555,108.3613,2025-01-16T11:14:00Z
Cr,73.93,75.548,114.0633,2025-03-30T17:16:00Z
Cd,8.1,-69.2052,43.106,2025-09-16T09:50:00Z
Pb,32.7,-58.5222,-172.4694,2025-10-15T02:41:00Z
Cr,30.29,-53.2565,-162.5633,2025-05-30T04:04:00Z
Hg,6.51,-29.5576,173.3843,2025-01-13T04:12:00Z
Cd,7.99,-42.9104,-120.966,2025-01-05T13:26:00Z
Pb,35.51,-52.2477,-126.8783,2025-12-16T23:50:00Z
Pb,34.14,56.9842,-3.6031,2025-04-09T04:46:00Z
Cd,9.53,88.76,72.0836,2025-03-22T17:58:00Z
Cr,35.75,65.0572,-139.1543,2025-02-17T05:15:00Z
Pb,47.41,-6.8225,-24.2167,2025-07-31T00:35:00Z
Hg,7.09,-57.1423,31.2355,2025-06-21T05:28:00Z
Hg,6.5,72.9549,26.2177,2025-09-19T05:28:00Z
Cr,63.15,-89.3617,-118.1454,2025-07-24T18:12:00Z
Pb,32.76,40.9039,31.9266,2025-06-28T06:05:00Z
Cd,0.19,74.2191,12.0116,2025-10-23T12:50:00Z
Hg,0.86,11.5141,145.6742,2025-12-05T11:41:00Z
Hg,3.06,3.6907,-122.5258,2025-12-08T17:53:00Z
Hg,4.45,4.1669,14.6318,2025-07-01T16:44:00Z
Cd,6.82,-20.9049,89.7731,2025-12-09T07:16:00Z
Cr,59.97,-32.5085,-53.6501,2025-03-03T18:27:00Z
As,17.6,30.6075,146.4792,2025-02-23T05:21:00Z
Cr,55.1,38.9033,-35.5985,2025-12-25T05:58:00Z
As,18.52,12.6622,-165.9676,2025-03-01T07:59:00Z
Cd,8.51,-53.0135,-103.0681,2025-07-08T16:08:00Z
Cd,0.82,71.2472,7.9735,2025-05-08T15:32:00Z
Cd,3.56,-26.2243,30.8916,2025-03-22T10:34:00Z
Cr,79.55,-24.2229,145.2155,2025-06-27T15:06:00Z
Hg,6.25,58.5702,91.3453,2025-01-30T04:46:00Z
Cr,37.72,31.7168,-66.1814,2025-02-12T04:01:00Z
Pb,21.79,7.4178,-98.1685,2025-03-27T18:15:00Z
Hg,5.2,-45.9701,-110.4116,2025-02-16T03:52:00Z
Hg,1.59,-2.8677,147.0205,2025-12-31T02:26:00Z
Cr,71.61,9.7744,163.1078,2025-02-03T22:01:00Z
As,14.64,-40.0267,-102.4996,2025-04-30T22:35:00Z
As,1.84,-24.0704,-78.1828,2025-09-22T20:24:00Z
Hg,1.69,19.676,-32.3415,2025-07-02T09:26:00Z
Hg,6.6,-29.5113,-85.1681,2025-09-22T02:53:00Z
Cr,56.88,-69.1956,-10.3985,2025-06-13T05:10:00Z
Cd,3.06,-79.9274,-9.4626,2025-07-26T18:37:00Z
As,12.62,70.0882,-139.0327,2025-03-01T02:46:00Z
Pb,27.6,53.1393,52.1981,2025-01-29T01:11:00Z
As,16.85,-24.1085,-110.9963,2025-04-03T14:57:00Z
As,15.23,-49.0871,-11.5367,2025-03-21T20:01:00Z
Cr,41.25,-73.6383,-171.2361,2025-02-03T04:41:00Z
Hg,6.88,46.263,73.2191,2025-05-28T12:59:00Z
Cr,6.03,33.9342,117.2418,2025-01-23T12:19:00Z
As,6.86,-87.0676,-57.499,2025-09-20T17:01:00Z
As,17.04,-67.3345,-96.6769,2025-12-27T05:48:00Z
Pb,9.73,6.9463,147.7055,2025-03-28T20:42:00Z
As,4.57,-19.631,-135.4836,2025-10-22T00:04:00Z
Cr,34.61,45.9906,-57.1058,2025-01-15T14:29:00Z
Cr,88.76,26.7526,93.9504,2025-12-15T23:26:00Z
Cd,6.56,-30.4877,113.1041,2025-09-02T16:49:00Z
Cr,78.56,-37.7696,24.2857,2025-09-21T04:02:00Z
Cr,43.02,-29.5612,74.2453,2025-01-24T13:12:00Z
